Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,QIJPIL,N11,O13,3.526
1,QIJPIL,N11,O14,3.146
1,QIJPIL,N12,O2,3.030
1,QIJPIL,N12,O11,3.541
1,QIJPIL,N12,O12,3.088
1,QIJPOR,N6,O11,3.584
1,QIJPOR,N6,O12,3.731
1,QIJPOR,N6,O14,3.667
1,QIJPOR,N7,O1,3.286
1,QIJPOR,N7,O13,3.818
1,QIJPOR,N7,O14,3.018
1,QIJPOR,N11,O4,3.370
1,QIJPOR,N11,O5,3.532
1,QIJPOR,N12,O2,3.960
1,QIJPOR,N12,O4,3.871
1,QIJPOR,N12,O6,3.098
1,QIJPOR,N12,O7,3.898
1,QIJPUX,N18,O4,3.139
1,QIJPUX,N6,O18,3.286
